Case,Year,Month,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
193,2015,Jan,Davenport Landing,37.0248,-122.2156,n,Orange,0,20,0,Lincoln High School
194,2015,Feb,Pigeon Point,37.1829,-122.3928,n,Orange,2,20,0.12,UCSC
195,2015,Feb,Pigeon Point,37.1829,-122.3928,n,Purple,2,20,0.12,UCSC
196,2015,Feb,Natural Bridges,36.9502,-122.0576,y,Orange,6,15,0.11,James Logan High School
197,2015,Feb,Natural Bridges,36.9502,-122.0576,y,Purple,1,15,0.02,James Logan High School
198,2015,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,3,60,0.06,Pacific Grove Museum of Natural History
199,2015,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,8,60,0.15,Pacific Grove Museum of Natural History
200,2015,Mar,Pigeon Point,37.1829,-122.3928,n,Orange,1,30,0.06,Lincoln High School
201,2015,Mar,Pigeon Point,37.1829,-122.3928,n,Purple,2,30,0.12,Lincoln High School
202,2015,Mar,Pillar Point,37.503,-122.4823,y,Orange,1,16,0.08,American High School
203,2015,Mar,Pillar Point,37.503,-122.4823,y,Purple,2,16,0.15,American High School
204,2015,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,2,15,0.04,Piedmont High School
205,2015,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,7,15,0.13,Piedmont High School
206,2015,Mar,Pigeon Point,37.1829,-122.3928,n,Orange,1,21,0.06,Pacific Grove Museum of Natural History
207,2015,Apr,Pigeon Point,37.1829,-122.3928,n,Purple,1,21,0.06,Pacific Grove Museum of Natural History
208,2015,Apr,Pillar Point,37.503,-122.4823,y,Orange,0,17,0,American High School
209,2015,May,Pillar Point,37.503,-122.4823,y,Purple,4,17,0.31,American High School
210,2015,May,Pillar Point,37.503,-122.4823,y,Orange,1,20,0.08,Piedmont High School
211,2015,May,Pillar Point,37.503,-122.4823,y,Orange,1,15,0.08,Piedmont High School
212,2015,May,Pillar Point,37.503,-122.4823,y,Purple,2,20,0.15,The Urban School
213,2015,May,Pillar Point,37.503,-122.4823,y,Purple,2,15,0.15,The Urban School
214,2015,May,Natural Bridges,36.9502,-122.0576,y,Orange,5,60,0.09,The Urban School
215,2015,Oct,Natural Bridges,36.9502,-122.0576,y,Purple,26,60,0.48,The Urban School
216,2015,Oct,Davenport Landing,37.0248,-122.2156,n,Purple,6,10,0.6,Pacific Grove Museum of Natural History
217,2015,Dec,Davenport Landing,37.0248,-122.2156,n,Orange,0,10,0,Pacific Grove Museum of Natural History
218,2015,Dec,Natural Bridges,36.9502,-122.0576,y,Orange,3,35,0.06,UCSC
219,2016,Feb,Natural Bridges,36.9502,-122.0576,y,Purple,17,35,0.31,UCSC
220,2016,Feb,Natural Bridges,36.9502,-122.0576,y,Orange,2,20,0.04,UCSC
221,2016,Feb,Natural Bridges,36.9502,-122.0576,y,Purple,1,20,0.02,UCSC
222,2016,Feb,Natural Bridges,36.9502,-122.0576,y,Orange,2,30,0.04,Watsonville High School
223,2016,Apr,Natural Bridges,36.9502,-122.0576,y,Purple,1,30,0.02,Watsonville High School
224,2016,Apr,Pigeon Point,37.1829,-122.3928,n,Orange,1,8,0.06,Menlo Altherton High School
225,2016,Apr,Pigeon Point,37.1829,-122.3928,n,Purple,2,8,0.12,Menlo Altherton High School
226,2016,Apr,Natural Bridges,36.9502,-122.0576,y,Orange,5,20,0.09,James Logan High School
227,2016,Apr,Natural Bridges,36.9502,-122.0576,y,Orange,5,30,0.09,James Logan High School
228,2016,Apr,Natural Bridges,36.9502,-122.0576,y,Purple,4,20,0.07,Pacific Grove Museum of Natural History
229,2016,Apr,Natural Bridges,36.9502,-122.0576,y,Purple,7,30,0.13,Pacific Grove Museum of Natural History
230,2016,Apr,Davenport Landing,37.0248,-122.2156,n,Purple,8,15,0.8,
231,2016,Apr,Davenport Landing,37.0248,-122.2156,n,Orange,0,15,0,
232,2016,May,Pillar Point,37.503,-122.4823,y,Orange,2,30,0.15,Pacific Grove Museum of Natural History
233,2016,May,Pillar Point,37.503,-122.4823,y,Purple,11,30,0.84,Pacific Grove Museum of Natural History
234,2016,Dec,Pigeon Point,37.1829,-122.3928,n,Orange,4,20,0.24,The Urban School
235,2016,Dec,Pigeon Point,37.1829,-122.3928,n,Purple,12,20,0.72,Head Royce School
